participant_id,paragraph_id,aoi_id,aoi_text,word_frequency,dwell_time
l10_341,6,1,The,7.73,176
l10_341,6,2,message,5.0,158
l10_341,6,3,and,7.41,0
l10_341,6,4,the,7.73,129
l10_341,6,5,bottle,4.57,267
l10_341,6,6,will,6.45,0
l10_341,6,7,be,6.79,0
l10_341,6,8,on,6.91,274
l10_341,6,9,display,4.63,0
l10_341,6,10,at,6.7,0
l10_341,6,11,Hamburg's,1.99,169
l10_341,6,12,Maritime,3.96,145
l10_341,6,13,Museum,4.71,0
l10_341,6,14,until,5.61,165
l10_341,6,15,the,7.73,262
l10_341,6,16,beginning,5.0,0
l10_341,6,17,of,7.4,0
l10_341,6,18,May,5.98,120
l10_341,6,19,"2014,",4.67,138
l10_341,6,20,after,6.11,0
l10_341,6,21,which,6.3,111
l10_341,6,22,experts,4.52,193
l10_341,6,23,will,6.45,78
l10_341,6,24,attempt,4.85,249
l10_341,6,25,to,7.43,0
l10_341,6,26,decipher,3.14,184
l10_341,6,27,the,7.73,0
l10_341,6,28,rest,5.23,200
l10_341,6,29,of,7.4,0
l10_341,6,30,the,7.73,0
l10_341,6,31,text.,5.01,0
l10_341,6,32,It,6.95,0
l10_341,6,33,is,7.07,0
l10_341,6,34,not,6.69,0
l10_341,6,35,clear,5.25,0
l10_341,6,36,what,6.38,0
l10_341,6,37,will,6.45,141
l10_341,6,38,then,6.07,0
l10_341,6,39,happen,5.19,154
l10_341,6,40,to,7.43,0
l10_341,6,41,the,7.73,0
l10_341,6,42,"bottle,",4.57,0
l10_341,6,43,but,6.63,0
l10_341,6,44,Erdmann,2.12,216
l10_341,6,45,hopes,4.4,0
l10_341,6,46,it,6.95,0
l10_341,6,47,will,6.45,78
l10_341,6,48,stay,5.33,0
l10_341,6,49,at,6.7,0
l10_341,6,50,the,7.73,180
l10_341,6,51,museum.,4.71,0
l10_341,6,52,“We,6.54,0
l10_341,6,53,want,6.04,271
l10_341,6,54,to,7.43,0
l10_341,6,55,make,6.08,0
l10_341,6,56,a,7.36,139
l10_341,6,57,few,5.6,0
l10_341,6,58,photos,4.83,288
l10_341,6,59,available,5.28,114
l10_341,6,60,to,7.43,137
l10_341,6,61,put,5.66,0
l10_341,6,62,with,6.85,170
l10_341,6,63,the,7.73,0
l10_341,6,64,bottle,4.57,0
l10_341,6,65,and,7.41,174
l10_341,6,66,give,5.71,0
l10_341,6,67,it,6.95,177
l10_341,6,68,a,7.36,0
l10_341,6,69,"face,",5.45,0
l10_341,6,70,so,6.52,162
l10_341,6,71,visitors,4.49,116
l10_341,6,72,can,6.46,0
l10_341,6,73,see,6.1,80
l10_341,6,74,the,7.73,0
l10_341,6,75,young,5.43,0
l10_341,6,76,man,5.82,213
l10_341,6,77,who,6.34,0
l10_341,6,78,threw,4.46,297
l10_341,6,79,the,7.73,0
l10_341,6,80,bottle,4.57,0
l10_341,6,81,into,6.11,258
l10_341,6,82,the,7.73,0
l10_341,6,83,"water,”",5.52,544
l10_341,6,84,she,6.26,168
l10_341,6,85,said.,6.01,196
l11_344,3,1,The,7.73,185
l11_344,3,2,brown,5.01,0
l11_344,3,3,beer,4.7,557
l11_344,3,4,"bottle,",4.57,463
l11_344,3,5,which,6.3,0
l11_344,3,6,had,6.33,0
l11_344,3,7,been,6.27,0
l11_344,3,8,in,7.27,0
l11_344,3,9,the,7.73,0
l11_344,3,10,water,5.52,169
l11_344,3,11,for,7.01,165
l11_344,3,12,101,3.74,0
l11_344,3,13,"years,",5.96,0
l11_344,3,14,was,6.82,0
l11_344,3,15,found,5.68,0
l11_344,3,16,in,7.27,0
l11_344,3,17,the,7.73,142
l11_344,3,18,catch,4.87,0
l11_344,3,19,of,7.4,196
l11_344,3,20,Konrad,2.85,186
l11_344,3,21,"Fischer,",3.52,161
l11_344,3,22,a,7.36,0
l11_344,3,23,"fisherman,",3.49,260
l11_344,3,24,who,6.34,0
l11_344,3,25,had,6.33,0
l11_344,3,26,been,6.27,414
l11_344,3,27,out,6.38,0
l11_344,3,28,in,7.27,0
l11_344,3,29,the,7.73,0
l11_344,3,30,Baltic,3.57,0
l11_344,3,31,Sea,5.06,0
l11_344,3,32,off,5.93,162
l11_344,3,33,the,7.73,0
l11_344,3,34,northern,4.85,0
l11_344,3,35,city,5.61,0
l11_344,3,36,of,7.4,140
l11_344,3,37,Kiel.,2.82,74
l11_344,3,38,Holger,2.6,147
l11_344,3,39,von,4.17,0
l11_344,3,40,"Neuhoff,",1.23,177
l11_344,3,41,curator,3.55,189
l11_344,3,42,for,7.01,205
l11_344,3,43,ocean,4.7,0
l11_344,3,44,and,7.41,0
l11_344,3,45,science,5.12,433
l11_344,3,46,at,6.7,309
l11_344,3,47,the,7.73,0
l11_344,3,48,"museum,",4.71,393
l11_344,3,49,said,6.01,0
l11_344,3,50,this,6.82,0
l11_344,3,51,bottled,3.49,326
l11_344,3,52,message,5.0,0
l11_344,3,53,was,6.82,0
l11_344,3,54,the,7.73,0
l11_344,3,55,oldest,4.24,233
l11_344,3,56,he,6.69,0
l11_344,3,57,had,6.33,121
l11_344,3,58,come,5.78,178
l11_344,3,59,across.,5.25,0
l11_344,3,60,“There,6.31,0
l11_344,3,61,are,6.74,347
l11_344,3,62,documents,4.64,0
l11_344,3,63,that,7.01,133
l11_344,3,64,have,6.71,292
l11_344,3,65,been,6.27,147
l11_344,3,66,found,5.68,164
l11_344,3,67,without,5.69,542
l11_344,3,68,the,7.73,567
l11_344,3,69,bottle,4.57,104
l11_344,3,70,that,7.01,0
l11_344,3,71,are,6.74,255
l11_344,3,72,older,4.92,381
l11_344,3,73,and,7.41,299
l11_344,3,74,are,6.74,390
l11_344,3,75,in,7.27,494
l11_344,3,76,the,7.73,170
l11_344,3,77,"museum,”",4.71,151
l11_344,3,78,he,6.69,0
l11_344,3,79,said.,6.01,141
l11_344,3,80,"“But,",6.63,0
l11_344,3,81,with,6.85,179
l11_344,3,82,the,7.73,155
l11_344,3,83,bottle,4.57,376
l11_344,3,84,and,7.41,307
l11_344,3,85,the,7.73,0
l11_344,3,86,"document,",4.5,337
l11_344,3,87,this,6.82,65
l11_344,3,88,is,7.07,0
l11_344,3,89,certainly,5.0,205
l11_344,3,90,the,7.73,0
l11_344,3,91,oldest,4.24,123
l11_344,3,92,at,6.7,0
l11_344,3,93,the,7.73,161
l11_344,3,94,moment.,5.24,0
l11_344,3,95,It,6.95,60
l11_344,3,96,is,7.07,0
l11_344,3,97,in,7.27,0
l11_344,3,98,extremely,4.79,396
