index,left,top,right,bottom,section,line,content
0,80.234375,595.0,102.234375,705.0,,0,T
1,101.953125,595.0,126.953125,705.0,,0,h
2,127.265625,595.0,137.265625,705.0,,0,i
3,137.421875,595.0,156.421875,705.0,,0,s
4,156.828125,595.0,166.828125,705.0,,0, 
5,167.140625,595.0,177.140625,705.0,,0,i
6,177.296875,595.0,196.296875,705.0,,0,s
7,196.703125,595.0,206.703125,705.0,,0, 
8,207.140625,595.0,221.140625,705.0,,0,t
9,220.859375,595.0,245.859375,705.0,,0,h
10,245.421875,595.0,268.421875,705.0,,0,e
11,268.828125,595.0,278.828125,705.0,,0, 
12,278.390625,595.0,301.390625,705.0,,0,e
13,301.109375,595.0,326.109375,705.0,,0,n
14,325.703125,595.0,350.703125,705.0,,0,d
15,351.109375,595.0,361.109375,705.0,,0, 
16,361.3125,595.0,385.3125,705.0,,0,o
17,383.078125,595.0,399.078125,705.0,,0,f
18,399.484375,595.0,409.484375,705.0,,0, 
19,409.921875,595.0,423.921875,705.0,,0,t
20,423.640625,595.0,448.640625,705.0,,0,h
21,448.203125,595.0,471.203125,705.0,,0,e
22,471.609375,595.0,481.609375,705.0,,0, 
23,481.171875,595.0,504.171875,705.0,,0,e
24,503.53125,595.0,524.53125,705.0,,0,x
25,524.125,595.0,549.125,705.0,,0,p
26,548.6875,595.0,571.6875,705.0,,0,e
27,571.203125,595.0,588.203125,705.0,,0,r
28,588.515625,595.0,598.515625,705.0,,0,i
29,598.921875,595.0,635.921875,705.0,,0,m
30,635.484375,595.0,658.484375,705.0,,0,e
31,658.203125,595.0,683.203125,705.0,,0,n
32,683.640625,595.0,697.640625,705.0,,0,t
33,697.359375,595.0,708.359375,705.0,,0,.
34,708.765625,595.0,718.765625,705.0,,0, 
35,719.0,595.0,741.0,705.0,,0,T
36,740.71875,595.0,765.71875,705.0,,0,h
37,766.15625,595.0,788.15625,705.0,,0,a
38,787.875,595.0,812.875,705.0,,0,n
39,813.234375,595.0,834.234375,705.0,,0,k
40,834.640625,595.0,844.640625,705.0,,0, 
41,844.046875,595.0,865.046875,705.0,,0,y
42,865.25,595.0,889.25,705.0,,0,o
43,888.96875,595.0,913.96875,705.0,,0,u
44,914.375,595.0,924.375,705.0,,0, 
45,922.140625,595.0,938.140625,705.0,,0,f
46,938.34375,595.0,962.34375,705.0,,0,o
47,961.859375,595.0,978.859375,705.0,,0,r
48,979.265625,595.0,989.265625,705.0,,0, 
49,988.671875,595.0,1009.671875,705.0,,0,y
50,1009.875,595.0,1033.875,705.0,,0,o
51,1033.59375,595.0,1058.59375,705.0,,0,u
52,1058.109375,595.0,1075.109375,705.0,,0,r
53,1075.515625,595.0,1085.515625,705.0,,0, 
54,1085.109375,595.0,1110.109375,705.0,,0,p
55,1110.546875,595.0,1132.546875,705.0,,0,a
56,1132.0625,595.0,1149.0625,705.0,,0,r
57,1149.5,595.0,1163.5,705.0,,0,t
58,1163.8125,595.0,1173.8125,705.0,,0,i
59,1174.015625,595.0,1193.015625,705.0,,0,c
60,1193.328125,595.0,1203.328125,705.0,,0,i
61,1202.921875,595.0,1227.921875,705.0,,0,p
62,1228.359375,595.0,1250.359375,705.0,,0,a
63,1250.796875,595.0,1264.796875,705.0,,0,t
64,1265.109375,595.0,1275.109375,705.0,,0,i
65,1275.3125,595.0,1299.3125,705.0,,0,o
66,1299.03125,595.0,1324.03125,705.0,,0,n
67,1323.796875,595.0,1334.796875,705.0,,0,!
