index,left,top,right,bottom,section,line,content
0,51.890625,445.5,121.109375,529.5,,0,This
1,121.109375,445.5,151.0625,529.5,,0,is
2,151.0625,445.5,205.203125,529.5,,0,the
3,205.203125,445.5,267.0390625,529.5,,0,end
4,267.0390625,445.5,303.140625,529.5,,0,of
5,303.140625,445.5,357.28125,529.5,,0,the
6,357.28125,445.5,535.0546875,529.5,,0,experiment.
7,535.0546875,445.5,629.28125,529.5,,0,Thank
8,629.28125,445.5,688.5859375,529.5,,0,you
9,688.5859375,445.5,737.734375,529.5,,0,for
10,737.734375,445.5,810.5,529.5,,0,your
11,810.5,445.5,1008.953125,529.5,,0,participation!
