index,left,top,right,bottom,section,line,content
0,39.78125,129.0,52.78125,185.0,,0,A
1,52.984375,129.0,57.984375,185.0,,0, 
2,58.28125,129.0,70.28125,185.0,,0,p
3,70.5,129.0,81.5,185.0,,0,a
4,81.765625,129.0,89.765625,185.0,,0,r
5,89.578125,129.0,100.578125,185.0,,0,a
6,100.875,129.0,112.875,185.0,,0,g
7,113.140625,129.0,121.140625,185.0,,0,r
8,120.953125,129.0,131.953125,185.0,,0,a
9,132.25,129.0,144.25,185.0,,0,p
10,144.609375,129.0,156.609375,185.0,,0,h
11,156.8125,129.0,161.8125,185.0,,0, 
12,161.53125,129.0,177.53125,185.0,,0,w
13,177.6875,129.0,182.6875,185.0,,0,i
14,182.84375,129.0,187.84375,185.0,,0,l
15,188.0,129.0,193.0,185.0,,0,l
16,193.203125,129.0,198.203125,185.0,,0, 
17,198.421875,129.0,209.421875,185.0,,0,a
18,209.71875,129.0,221.71875,185.0,,0,p
19,222.015625,129.0,234.015625,185.0,,0,p
20,234.296875,129.0,245.296875,185.0,,0,e
21,245.515625,129.0,256.515625,185.0,,0,a
22,256.78125,129.0,264.78125,185.0,,0,r
23,264.984375,129.0,269.984375,185.0,,0, 
24,270.078125,129.0,282.078125,185.0,,0,o
25,282.4375,129.0,294.4375,185.0,,0,n
26,294.640625,129.0,299.640625,185.0,,0, 
27,299.21875,129.0,309.21875,185.0,,0,s
28,308.8125,129.0,318.8125,185.0,,0,c
29,319.078125,129.0,327.078125,185.0,,0,r
30,326.953125,129.0,337.953125,185.0,,0,e
31,338.234375,129.0,349.234375,185.0,,0,e
32,349.59375,129.0,361.59375,185.0,,0,n
33,361.953125,129.0,366.953125,185.0,,0,.
34,367.15625,129.0,372.15625,185.0,,0, 
35,371.59375,129.0,384.59375,185.0,,0,R
36,384.875,129.0,395.875,185.0,,0,e
37,396.09375,129.0,407.09375,185.0,,0,a
38,407.390625,129.0,419.390625,185.0,,0,d
39,419.59375,129.0,424.59375,185.0,,0, 
40,424.8125,129.0,431.8125,185.0,,0,t
41,432.171875,129.0,444.171875,185.0,,0,h
42,444.453125,129.0,455.453125,185.0,,0,e
43,455.65625,129.0,460.65625,185.0,,0, 
44,460.953125,129.0,472.953125,185.0,,0,p
45,473.171875,129.0,484.171875,185.0,,0,a
46,484.4375,129.0,492.4375,185.0,,0,r
47,492.25,129.0,503.25,185.0,,0,a
48,503.546875,129.0,515.546875,185.0,,0,g
49,515.8125,129.0,523.8125,185.0,,0,r
50,523.625,129.0,534.625,185.0,,0,a
51,534.921875,129.0,546.921875,185.0,,0,p
52,547.28125,129.0,559.28125,185.0,,0,h
53,559.640625,129.0,564.640625,185.0,,0,","
54,564.84375,129.0,569.84375,185.0,,0, 
55,570.0625,129.0,577.0625,185.0,,0,t
56,577.421875,129.0,589.421875,185.0,,0,h
57,589.703125,129.0,600.703125,185.0,,0,e
58,601.0625,129.0,613.0625,185.0,,0,n
59,613.265625,129.0,618.265625,185.0,,0, 
60,618.5625,129.0,630.5625,185.0,,0,p
61,630.828125,129.0,638.828125,185.0,,0,r
62,638.703125,129.0,649.703125,185.0,,0,e
63,649.28125,129.0,659.28125,185.0,,0,s
64,658.859375,129.0,668.859375,185.0,,0,s
