index,left,top,right,bottom,section,line,content
0,80.203125,155.0,117.203125,265.0,question,0,W
1,116.921875,155.0,141.921875,265.0,question,0,h
2,142.125,155.0,166.125,265.0,question,0,o
3,166.53125,155.0,176.53125,265.0,question,0, 
4,176.96875,155.0,190.96875,265.0,question,0,t
5,190.6875,155.0,215.6875,265.0,question,0,h
6,215.203125,155.0,232.203125,265.0,question,0,r
7,230.96875,155.0,253.96875,265.0,question,0,e
8,253.609375,155.0,284.609375,265.0,question,0,w
9,285.015625,155.0,295.015625,265.0,question,0, 
10,295.453125,155.0,309.453125,265.0,question,0,t
11,309.171875,155.0,334.171875,265.0,question,0,h
12,333.734375,155.0,356.734375,265.0,question,0,e
13,357.140625,155.0,367.140625,265.0,question,0, 
14,366.734375,155.0,391.734375,265.0,question,0,b
15,391.9375,155.0,415.9375,265.0,question,0,o
16,416.375,155.0,430.375,265.0,question,0,t
17,430.8125,155.0,444.8125,265.0,question,0,t
18,445.125,155.0,455.125,265.0,question,0,l
19,454.6875,155.0,477.6875,265.0,question,0,e
20,478.09375,155.0,488.09375,265.0,question,0, 
21,488.40625,155.0,498.40625,265.0,question,0,i
22,498.125,155.0,523.125,265.0,question,0,n
23,523.5625,155.0,537.5625,265.0,question,0,t
24,537.765625,155.0,561.765625,265.0,question,0,o
25,562.171875,155.0,572.171875,265.0,question,0, 
26,572.609375,155.0,586.609375,265.0,question,0,t
27,586.328125,155.0,611.328125,265.0,question,0,h
28,610.890625,155.0,633.890625,265.0,question,0,e
29,634.296875,155.0,644.296875,265.0,question,0, 
30,644.296875,155.0,670.296875,265.0,question,0,B
31,670.734375,155.0,692.734375,265.0,question,0,a
32,693.046875,155.0,703.046875,265.0,question,0,l
33,703.484375,155.0,717.484375,265.0,question,0,t
34,717.796875,155.0,727.796875,265.0,question,0,i
35,728.0,155.0,747.0,265.0,question,0,c
36,747.40625,155.0,757.40625,265.0,question,0, 
37,757.359375,155.0,779.359375,265.0,question,0,S
38,778.921875,155.0,801.921875,265.0,question,0,e
39,802.359375,155.0,824.359375,265.0,question,0,a
40,824.71875,155.0,841.71875,265.0,question,0,?
41,843.3515625,430.0,869.3515625,540.0,option:0,0,A
42,869.0703125,430.0,894.0703125,540.0,option:0,0,n
43,893.6640625,430.0,918.6640625,540.0,option:0,0,g
44,918.2265625,430.0,941.2265625,540.0,option:0,0,e
45,941.5390625,430.0,951.5390625,540.0,option:0,0,l
46,951.9765625,430.0,973.9765625,540.0,option:0,0,a
47,974.3828125,430.0,984.3828125,540.0,option:0,0, 
48,984.6171875,430.0,1006.6171875,540.0,option:0,0,E
49,1006.1328125,430.0,1023.1328125,540.0,option:0,0,r
50,1021.9296875,430.0,1046.9296875,540.0,option:0,0,d
51,1047.3359375,430.0,1084.3359375,540.0,option:0,0,m
52,1084.7734375,430.0,1106.7734375,540.0,option:0,0,a
53,1106.4921875,430.0,1131.4921875,540.0,option:0,0,n
54,1131.2109375,430.0,1156.2109375,540.0,option:0,0,n
55,425.78125,650.0,451.78125,760.0,option:1,0,A
56,452.1875,650.0,462.1875,760.0,option:1,0, 
57,459.953125,650.0,475.953125,760.0,option:1,0,f
58,476.265625,650.0,486.265625,760.0,option:1,0,i
59,486.421875,650.0,505.421875,760.0,option:1,0,s
60,505.140625,650.0,530.140625,760.0,option:1,0,h
61,529.703125,650.0,552.703125,760.0,option:1,0,e
62,552.21875,650.0,569.21875,760.0,option:1,0,r
63,569.625,650.0,606.625,760.0,option:1,0,m
64,607.0625,650.0,629.0625,760.0,option:1,0,a
65,628.78125,650.0,653.78125,760.0,option:1,0,n
