index,left,top,right,bottom,section,line,content
0,34.609375,73.0,84.6796875,129.0,question,0,How
1,84.6796875,73.0,126.6484375,129.0,question,0,was
2,126.6484375,73.0,162.75,129.0,question,0,the
3,162.75,73.0,223.21875,129.0,question,0,bottle
4,223.21875,73.0,340.75,129.0,question,0,discovered?
5,375.6953125,213.0,395.9375,269.0,option:0,0,A
6,395.9375,213.0,497.6640625,269.0,option:0,0,fisherman
7,497.6640625,213.0,603.984375,269.0,option:0,0,discovered
8,603.984375,213.0,624.0859375,269.0,option:0,0,it
9,110.1015625,325.0,131.984375,381.0,option:1,0,It
10,131.984375,325.0,209.9609375,381.0,option:1,0,washed
11,209.9609375,325.0,239.6875,381.0,option:1,0,up
12,239.6875,325.0,269.40625,381.0,option:1,0,on
13,269.40625,325.0,305.1484375,381.0,option:1,0,the
14,305.1484375,325.0,363.78125,381.0,option:1,0,shore
15,363.78125,325.0,387.59375,381.0,option:1,0,of
16,387.59375,325.0,429.6796875,381.0,option:1,0,Kiel
17,524.09375,325.0,545.046875,381.0,option:2,0,A
18,545.046875,325.0,584.4375,381.0,option:2,0,boy
19,584.4375,325.0,690.7578125,381.0,option:2,0,discovered
20,690.7578125,325.0,708.1171875,381.0,option:2,0,it
21,708.1171875,325.0,763.28125,381.0,option:2,0,while
22,763.28125,325.0,837.1015625,381.0,option:2,0,playing
23,837.1015625,325.0,859.8515625,381.0,option:2,0,in
24,859.8515625,325.0,895.59375,381.0,option:2,0,the
25,895.59375,325.0,935.6875,381.0,option:2,0,sea
26,339.6328125,437.0,411.109375,493.0,option:3,0,Holger
27,411.109375,437.0,451.4453125,493.0,option:3,0,von
28,451.4453125,437.0,533.7578125,493.0,option:3,0,Neuhoff
29,533.7578125,437.0,640.078125,493.0,option:3,0,discovered
30,640.078125,437.0,660.1796875,493.0,option:3,0,it
