index,left,top,right,bottom,section,line,content
0,51.96875,109.5,84.84375,193.5,,0,“I
1,84.84375,109.5,166.71875,193.5,,0,knew
2,166.71875,109.5,234.609375,193.5,,0,very
3,234.609375,109.5,304.234375,193.5,,0,little
4,304.234375,109.5,394.953125,193.5,,0,about
5,394.953125,109.5,446.296875,193.5,,0,my
6,446.296875,109.5,627.25,193.5,,0,"grandfather,"
7,627.25,109.5,682.734375,193.5,,0,but
8,682.734375,109.5,699.7734375,193.5,,0,I
9,699.7734375,109.5,792.5078125,193.5,,0,found
10,792.5078125,109.5,847.671875,193.5,,0,out
11,847.671875,109.5,912.359375,193.5,,0,that
12,912.359375,109.5,955.640625,193.5,,0,he
13,955.640625,109.5,1018.34375,193.5,,0,was
14,1018.34375,109.5,1042.84375,193.5,,0,a
15,1042.84375,109.5,1134.484375,193.5,,0,writer
16,1134.484375,109.5,1202.5625,193.5,,0,who
17,1202.5625,109.5,1264.96875,193.5,,0,was
18,1264.96875,109.5,1336.890625,193.5,,0,very
19,52.359375,193.5,261.75,277.5,,1,"open-minded,"
20,261.75,193.5,323.6875,277.5,,1,and
21,323.6875,193.5,448.90625,277.5,,1,believed
22,448.90625,193.5,482.2734375,277.5,,1,in
23,482.2734375,193.5,611.4375,277.5,,1,freedom
24,611.4375,193.5,673.0625,277.5,,1,and
25,673.0625,193.5,737.9375,277.5,,1,that
26,737.9375,193.5,875.7578125,277.5,,1,everyone
27,875.7578125,193.5,979.375,277.5,,1,should
28,979.375,193.5,1090.640625,277.5,,1,respect
29,1090.640625,193.5,1165.2578125,277.5,,1,each
30,1165.2578125,193.5,1264.0234375,277.5,,1,"other,”"
31,1264.0234375,193.5,1321.6640625,277.5,,1,she
32,1321.6640625,193.5,1398.609375,277.5,,1,said.
33,51.96875,277.5,114.046875,361.5,,2,“He
34,114.046875,277.5,166.171875,361.5,,2,did
35,166.171875,277.5,190.75,361.5,,2,a
36,190.75,277.5,234.5546875,361.5,,2,lot
37,234.5546875,277.5,283.96875,361.5,,2,for
38,283.96875,277.5,337.796875,361.5,,2,the
39,337.796875,277.5,434.859375,361.5,,2,young
40,434.859375,277.5,496.4375,361.5,,2,and
41,496.4375,277.5,568.984375,361.5,,2,later
42,568.984375,277.5,691.375,361.5,,2,traveled
43,691.375,277.5,759.84375,361.5,,2,with
44,759.84375,277.5,808.3125,361.5,,2,his
45,808.3125,277.5,874.78125,361.5,,2,wife
46,874.78125,277.5,936.40625,361.5,,2,and
47,936.40625,277.5,997.078125,361.5,,2,two
