index,left,top,right,bottom,section,line,content
0,59.6875,277.5,76.6875,361.5,,0,T
1,76.234375,277.5,95.234375,361.5,,0,h
2,95.15625,277.5,112.15625,361.5,,0,e
3,111.953125,277.5,119.953125,361.5,,0, 
4,120.0,277.5,148.0,361.5,,0,m
5,147.921875,277.5,164.921875,361.5,,0,e
6,165.296875,277.5,179.296875,361.5,,0,s
7,179.671875,277.5,193.671875,361.5,,0,s
8,193.5,277.5,210.5,361.5,,0,a
9,210.953125,277.5,228.953125,361.5,,0,g
10,228.875,277.5,245.875,361.5,,0,e
11,245.671875,277.5,253.671875,361.5,,0, 
12,253.5,277.5,270.5,361.5,,0,a
13,270.046875,277.5,289.046875,361.5,,0,n
14,289.5,277.5,307.5,361.5,,0,d
15,307.296875,277.5,315.296875,361.5,,0, 
16,315.125,277.5,326.125,361.5,,0,t
17,325.671875,277.5,344.671875,361.5,,0,h
18,344.59375,277.5,361.59375,361.5,,0,e
19,361.390625,277.5,369.390625,361.5,,0, 
20,369.84375,277.5,387.84375,361.5,,0,b
21,388.0,277.5,406.0,361.5,,0,o
22,405.828125,277.5,416.828125,361.5,,0,t
23,416.65625,277.5,427.65625,361.5,,0,t
24,427.390625,277.5,435.390625,361.5,,0,l
25,435.3125,277.5,452.3125,361.5,,0,e
26,452.109375,277.5,460.109375,361.5,,0, 
27,459.6875,277.5,483.6875,361.5,,0,w
28,483.421875,277.5,491.421875,361.5,,0,i
29,491.15625,277.5,499.15625,361.5,,0,l
30,498.890625,277.5,506.890625,361.5,,0,l
31,506.6875,277.5,514.6875,361.5,,0, 
32,515.140625,277.5,533.140625,361.5,,0,b
33,533.0625,277.5,550.0625,361.5,,0,e
34,549.859375,277.5,557.859375,361.5,,0, 
35,558.015625,277.5,576.015625,361.5,,0,o
36,575.5625,277.5,594.5625,361.5,,0,n
37,594.359375,277.5,602.359375,361.5,,0, 
38,602.8125,277.5,620.8125,361.5,,0,d
39,620.546875,277.5,628.546875,361.5,,0,i
40,628.921875,277.5,642.921875,361.5,,0,s
41,643.375,277.5,661.375,361.5,,0,p
42,661.109375,277.5,669.109375,361.5,,0,l
43,668.9375,277.5,685.9375,361.5,,0,a
44,685.234375,277.5,701.234375,361.5,,0,y
45,701.03125,277.5,709.03125,361.5,,0, 
46,708.859375,277.5,725.859375,361.5,,0,a
47,725.6875,277.5,736.6875,361.5,,0,t
48,736.484375,277.5,744.484375,361.5,,0, 
49,744.71875,277.5,766.71875,361.5,,0,H
50,766.546875,277.5,783.546875,361.5,,0,a
51,783.59375,277.5,811.59375,361.5,,0,m
52,812.046875,277.5,830.046875,361.5,,0,b
53,829.59375,277.5,848.59375,361.5,,0,u
54,848.984375,277.5,860.984375,361.5,,0,r
55,861.140625,277.5,879.140625,361.5,,0,g
56,879.390625,277.5,884.390625,361.5,,0,’
57,883.859375,277.5,897.859375,361.5,,0,s
58,897.65625,277.5,905.65625,361.5,,0, 
59,905.859375,277.5,932.859375,361.5,,0,M
60,932.6875,277.5,949.6875,361.5,,0,a
61,950.078125,277.5,962.078125,361.5,,0,r
62,961.8125,277.5,969.8125,361.5,,0,i
63,969.640625,277.5,980.640625,361.5,,0,t
